captured_at_utc	logical_path	sha256	bytes	mode	category	sensitivity	disposition
2026-07-13T04:54:36Z	payload/decodex/accounts.jsonl	7ef915e9b2e3c5250d040d249079a22236b8ac601ea27340f91104f78f868a55	27607	600	account-pool	secret-bearing	preserve-cold-never-import
2026-07-13T04:54:36Z	payload/decodex/config.toml	837071be915af25a1aba0ea49916c21a9af29561253803920b90ef173e9a2555	61	600	global-config	private-config	explicit-vnext-review
2026-07-13T04:54:36Z	payload/decodex/projects/decodex/WORKFLOW.md	2fd5d8926ee2ddc117446103e566ac55b414fdcb921716d7a2c964f7b931ccdb	3984	600	workflow-policy	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/decodex/project.toml	ca02e76fd0ebd08a61240f0849e6ae766d89468f44ce5072947534af9adcd1fb	342	600	project-definition	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/elf/WORKFLOW.md	eca8fe5f10cfb397ad1203d5b4a4700ad1e8df161883f1ee9998311b30fd8451	2948	600	workflow-policy	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/elf/project.toml	aaa77cb5030d1a426967e0f5b757cc092ccec74ff0463a67bf51c7bb302ceb76	334	600	project-definition	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/profit-pilot/WORKFLOW.md	1a2cc27b733bb95dea8543bb308e623184b58b557123e9bce09ee7dcc5db4e9f	3413	600	workflow-policy	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/profit-pilot/project.toml	f3b7ea70086014e77fbea2e9e07d2e0eee8ca80a3606f9350b2a374162eca5e9	352	600	project-definition	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/pubfi-docs/WORKFLOW.md	7c52d94d3fda0f26a968cc574b9e4f3f4b58d36c802ea15d6ed94ee87ee29fd1	1626	600	workflow-policy	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/pubfi-docs/project.toml	b84970a8f0d6468205af8adeffdcd351babb2a7a6c8b2da506cf8a3707d9ddde	349	600	project-definition	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/pubfi-mono/WORKFLOW.md	ccb9b0b607d74c654a4c0868b873a18bf05946b0e865800614657705ab7f2247	3168	600	workflow-policy	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/pubfi-mono/project.toml	0433e80e32e12ca66376bc87b221e6c8f29de2c9de30bc6aa7c3a34e8956198a	719	600	project-definition	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/pubfi/WORKFLOW.md	84249b1c78c1e4485cbf2c8b1a71f6494c6883ec9e93109e813528abe2f1a63c	2914	600	workflow-policy	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/pubfi/project.toml	ccde6e0d6759d79473facf7a50d1cab386ba2e91936eb0ead6d2fbc4aafc1295	347	600	project-definition	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/quantro-mono/WORKFLOW.md	9b6438b06f7467add3aa6d4887f62f80753a3403e29685aeb36751a00d241660	3749	600	workflow-policy	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/quantro-mono/project.toml	8c1fb528478e52ffb9d3edc11184395a992ff20c4bdb1f67e7d02341c72852ac	353	600	project-definition	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/rsnap/WORKFLOW.md	6c50646cdf214fd05861e98fef8ba9a7e7fe0eb8c00afae30459e48037f83045	3776	600	workflow-policy	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/rsnap/project.toml	029f0e4324b6c39b53ee8d7f35741119815c52f1887dd2bc9b746def646ba703	338	600	project-definition	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/vibe-mono/WORKFLOW.md	c01f37f572a8a8cdb6b8dd70d4c74f2e270be723255db78ba3e7da514829484f	2367	600	workflow-policy	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/vibe-mono/project.toml	5adda1dc40868e804807ac4de3f37b8fca59a591d33d9b2cabfbcb951fa803f7	346	600	project-definition	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/vibe-style/WORKFLOW.md	1f63b1f60c8e0221290317d86c764dfd38b91fa1e37107aee3347e42a3dc2040	3443	600	workflow-policy	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/vibe-style/project.toml	ed1335a207b5d1cb592600f0dc952b375bf564a30179fb0fffd6e07385a3e5f2	348	600	project-definition	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/voxit/WORKFLOW.md	84488a7ea8a1245f48093e7a00f23e9c5133afd6a64db35b424c79186381caed	2965	600	workflow-policy	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/projects/voxit/project.toml	2cb47815223f7d98e790e08808042a4066bf85e2acd7978ef07b4f55f182fc65	338	600	project-definition	private-config	explicit-vnext-project-review
2026-07-13T04:54:36Z	payload/decodex/runtime.sqlite3/RETIRED	528ccaba680f7952526e1169067bf4417bd1bc591b46028689d96f848ee6efa8	65	600	retirement-evidence	nonsecret	historical-evidence-only
