rule_id	owner_path	owner_locator	representation	origin_class	origin_ref
PA-ACC-0001	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-ACC-0001	markdown	package_native	PKG-NATIVE-006
PA-ACC-0002	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-ACC-0002	markdown	package_native	PKG-NATIVE-006
PA-DEC-0001	openwiki/specs/private-artifact/decision.md	rule:PA-DEC-0001	markdown	package_native	PKG-NATIVE-001
PA-DEC-0002	openwiki/specs/private-artifact/decision.md	rule:PA-DEC-0002	markdown	package_native	PKG-NATIVE-001
PA-DEC-0003	openwiki/specs/private-artifact/decision.md	rule:PA-DEC-0003	markdown	package_native	PKG-NATIVE-002
PA-DEC-0004	openwiki/specs/private-artifact/decision.md	rule:PA-DEC-0004	markdown	package_native	PKG-NATIVE-003
PA-DEC-0005	openwiki/specs/private-artifact/decision.md	rule:PA-DEC-0005	markdown	package_native	PKG-NATIVE-009
PA-DEL-0001	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-DEL-0001	markdown	package_native	PKG-NATIVE-004
PA-DEL-0003	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-DEL-0003	markdown	package_native	PKG-NATIVE-003
PA-EXEC-0001	openwiki/specs/private-artifact/executor-platform.md	rule:PA-EXEC-0001	markdown	corpus	V3-000017
PA-EXEC-0002	openwiki/specs/private-artifact/executor-platform.md	rule:PA-EXEC-0002	markdown	corpus	V3-000012
PA-EXEC-0003	openwiki/specs/private-artifact/executor-platform.md	rule:PA-EXEC-0003	markdown	corpus	V3-000291
PA-EXEC-0004	openwiki/specs/private-artifact/executor-platform.md	rule:PA-EXEC-0004	markdown	corpus	V3-000299
PA-EXEC-0005	openwiki/specs/private-artifact/executor-platform.md	rule:PA-EXEC-0005	markdown	corpus	V3-000390
PA-EXEC-0006	openwiki/specs/private-artifact/executor-platform.md	rule:PA-EXEC-0006	markdown	corpus	V3-000008
PA-EXEC-0007	openwiki/specs/private-artifact/executor-platform.md	rule:PA-EXEC-0007	markdown	corpus	V3-000010
PA-EXEC-0008	openwiki/specs/private-artifact/executor-platform.md	rule:PA-EXEC-0008	markdown	corpus	V3-000402
PA-FND-0001	openwiki/specs/private-artifact/foundations.md	rule:PA-FND-0001	markdown	corpus	V3-000002
PA-FND-0002	openwiki/specs/private-artifact/foundations.md	rule:PA-FND-0002	markdown	corpus	V3-000021
PA-FND-0003	openwiki/specs/private-artifact/foundations.md	rule:PA-FND-0003	markdown	corpus	V3-000673
PA-FND-0004	openwiki/specs/private-artifact/foundations.md	rule:PA-FND-0004	markdown	corpus	V3-000001
PA-FND-0005	openwiki/specs/private-artifact/foundations.md	rule:PA-FND-0005	markdown	corpus	V3-000011
PA-FND-0006	openwiki/specs/private-artifact/foundations.md	rule:PA-FND-0006	markdown	corpus	V3-000631
PA-FREEZE-0001	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-FREEZE-0001	markdown	package_native	PKG-NATIVE-005
PA-GC-0001	openwiki/specs/private-artifact/persistence-gc.md	rule:PA-GC-0001	markdown	corpus	V3-000019
PA-GC-0002	openwiki/specs/private-artifact/persistence-gc.md	rule:PA-GC-0002	markdown	corpus	V3-000333
PA-GC-0003	openwiki/specs/private-artifact/persistence-gc.md	rule:PA-GC-0003	markdown	corpus	V3-000537
PA-INV-0001	openwiki/specs/private-artifact/authority/inventories.json	/a0_baseline	json	package_native	PKG-NATIVE-005
PA-INV-0002	openwiki/specs/private-artifact/authority/inventories.json	/canonical_root_owners	json	corpus	V41-000052
PA-INV-0003	openwiki/specs/private-artifact/authority/inventories.json	/d0a_evidence_cases	json	package_native	PKG-NATIVE-005
PA-INV-0004	openwiki/specs/private-artifact/authority/inventories.json	/deferred_acceptance_cases	json	package_native	PKG-NATIVE-006
PA-INV-0005	openwiki/specs/private-artifact/authority/inventories.json	/dependency_edges	json	package_native	PKG-NATIVE-004
PA-INV-0008	openwiki/specs/private-artifact/authority/inventories.json	/platform_sources	json	corpus	V3-000402
PA-INV-0009	openwiki/specs/private-artifact/authority/inventories.json	/prior_closures	json	corpus	V3-000281
PA-INV-0010	openwiki/specs/private-artifact/authority/inventories.json	/product_residual_risks	json	corpus	V3-000683
PA-INV-0011	openwiki/specs/private-artifact/authority/inventories.json	/reason_codes	json	corpus	V3-000095
PA-INV-0012	openwiki/specs/private-artifact/authority/inventories.json	/resource_ceilings	json	corpus	V3-000444
PA-INV-0013	openwiki/specs/private-artifact/authority/inventories.json	/schema	json	package_native	PKG-NATIVE-001
PA-INV-0014	openwiki/specs/private-artifact/authority/inventories.json	/v23_functions	json	corpus	V3-000571
PA-INV-0015	openwiki/specs/private-artifact/authority/inventories.json	/v23_relations	json	corpus	V3-000571
PA-INV-0016	openwiki/specs/private-artifact/authority/inventories.json	/v43_debt_source	json	corpus	V43-000001
PA-INV-0017	openwiki/specs/private-artifact/authority/inventories.json	/v43_errno_evidence_matrix	json	corpus	V43-000001
PA-INV-0018	openwiki/specs/private-artifact/authority/inventories.json	/xy1372_claim_limits	json	corpus	V3-000402
PA-INV-0020	openwiki/specs/private-artifact/authority/inventories.json	/issue_path_owners/A0	json	package_native	PKG-NATIVE-005
PA-INV-0021	openwiki/specs/private-artifact/authority/inventories.json	/issue_path_owners/A1	json	package_native	PKG-NATIVE-005
PA-INV-0022	openwiki/specs/private-artifact/authority/inventories.json	/issue_path_owners/B	json	package_native	PKG-NATIVE-005
PA-INV-0023	openwiki/specs/private-artifact/authority/inventories.json	/issue_path_owners/C	json	package_native	PKG-NATIVE-005
PA-INV-0024	openwiki/specs/private-artifact/authority/inventories.json	/issue_path_owners/D	json	package_native	PKG-NATIVE-005
PA-INV-0025	openwiki/specs/private-artifact/authority/inventories.json	/issue_path_owners/D0a	json	package_native	PKG-NATIVE-005
PA-INV-0026	openwiki/specs/private-artifact/authority/inventories.json	/issue_path_owners/ACC	json	package_native	PKG-NATIVE-006
PA-MANIFEST-0001	openwiki/specs/private-artifact/authority/package.manifest	whole-file	tsv	package_native	PKG-NATIVE-003
PA-MODEL-0001	openwiki/specs/private-artifact/model-codec-reducer.md	rule:PA-MODEL-0001	markdown	corpus	V3-000026
PA-MODEL-0002	openwiki/specs/private-artifact/model-codec-reducer.md	rule:PA-MODEL-0002	markdown	corpus	V3-000095
PA-MODEL-0003	openwiki/specs/private-artifact/model-codec-reducer.md	rule:PA-MODEL-0003	markdown	corpus	V3-000095
PA-MODEL-0004	openwiki/specs/private-artifact/model-codec-reducer.md	rule:PA-MODEL-0004	markdown	corpus	V3-000059
PA-MODEL-0005	openwiki/specs/private-artifact/model-codec-reducer.md	rule:PA-MODEL-0005	markdown	corpus	V3-000179
PA-MODEL-0006	openwiki/specs/private-artifact/model-codec-reducer.md	rule:PA-MODEL-0006	markdown	corpus	V4-000205
PA-MODEL-0007	openwiki/specs/private-artifact/model-codec-reducer.md	rule:PA-MODEL-0007	markdown	corpus	V3-000001
PA-MODEL-0008	openwiki/specs/private-artifact/model-codec-reducer.md	rule:PA-MODEL-0008	markdown	corpus	V3-000016
PA-MODEL-0009	openwiki/specs/private-artifact/model-codec-reducer.md	rule:PA-MODEL-0009	markdown	corpus	V3-000013
PA-OPS-0001	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-OPS-0001	markdown	corpus	V41-000294
PA-OPS-0002	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-OPS-0002	markdown	corpus	V3-000022
PA-OPS-0003	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-OPS-0003	markdown	corpus	V3-000023
PA-OPS-0004	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-OPS-0004	markdown	corpus	V3-000683
PA-OWN-0001	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-OWN-0001	markdown	package_native	PKG-NATIVE-005
PA-OWN-0002	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-OWN-0002	markdown	package_native	PKG-NATIVE-005
PA-PERSIST-0001	openwiki/specs/private-artifact/persistence-gc.md	rule:PA-PERSIST-0001	markdown	corpus	V3-000252
PA-PERSIST-0002	openwiki/specs/private-artifact/persistence-gc.md	rule:PA-PERSIST-0002	markdown	corpus	V3-000252
PA-PERSIST-0003	openwiki/specs/private-artifact/persistence-gc.md	rule:PA-PERSIST-0003	markdown	corpus	V3-000020
PA-PERSIST-0004	openwiki/specs/private-artifact/persistence-gc.md	rule:PA-PERSIST-0004	markdown	corpus	V3-000527
PA-PERSIST-0005	openwiki/specs/private-artifact/persistence-gc.md	rule:PA-PERSIST-0005	markdown	corpus	V3-000005
PA-PERSIST-0006	openwiki/specs/private-artifact/persistence-gc.md	rule:PA-PERSIST-0006	markdown	corpus	V3-000571
PA-PERSIST-0007	openwiki/specs/private-artifact/persistence-gc.md	rule:PA-PERSIST-0007	markdown	corpus	V3-000558
PA-PERSIST-0008	openwiki/specs/private-artifact/persistence-gc.md	rule:PA-PERSIST-0008	markdown	corpus	V3-000352
PA-PREP-0001	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-PREP-0001	markdown	package_native	PKG-NATIVE-007
PA-PREP-0002	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-PREP-0002	markdown	package_native	PKG-NATIVE-007
PA-PREP-0003	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-PREP-0003	markdown	package_native	PKG-NATIVE-007
PA-RET-0001	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-RET-0001	markdown	package_native	PKG-NATIVE-008
PA-RET-0002	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-RET-0002	markdown	package_native	PKG-NATIVE-008
PA-RET-0003	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-RET-0003	markdown	package_native	PKG-NATIVE-008
PA-TRACE-0001	openwiki/specs/private-artifact/decision.md	rule:PA-TRACE-0001	markdown	package_native	PKG-NATIVE-002
PA-TRACE-0002	openwiki/specs/private-artifact/decision.md	rule:PA-TRACE-0002	markdown	package_native	PKG-NATIVE-002
PA-V22-0001	openwiki/specs/private-artifact/authority/v22-baseline.tsv	whole-file	tsv	corpus	V3-000571
PA-V22-0002	openwiki/specs/private-artifact/authority/v22-relations.tsv	whole-file	tsv	corpus	V3-000571
PA-V22-0003	openwiki/specs/private-artifact/authority/v22-function-contracts.rs.txt	whole-file	verbatim	corpus	V3-000571
PA-V22-0004	openwiki/specs/private-artifact/authority/v22-runtime-execute-functions.rs.txt	whole-file	verbatim	corpus	V3-000571
PA-VAL-0001	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-VAL-0001	markdown	package_native	PKG-NATIVE-006
PA-VAL-0002	openwiki/specs/private-artifact/operations-delivery.md	rule:PA-VAL-0002	markdown	package_native	PKG-NATIVE-006
