baseline_id	source_commit	source_path	git_blob	locator	bytes	sha256	record_count	snapshot_path
V22-MIGRATION-V01	4daf4dd809411bc83d7ea912e6b99612d4c9572a	crates/decodex-server-store/migrations/V1__persistence_foundation.sql	0b8b49da7d22c3c6ac2f6ac3d88a4e9407df6070	whole-file	18168	8d9c2a5162bb5469768821cea1e35e7a8b2d71a530b867fcdf1e2568d8e8898d	6	-
V22-MIGRATION-V02	4daf4dd809411bc83d7ea912e6b99612d4c9572a	crates/decodex-server-store/migrations/V2__claim_indexes.sql	c30244cbbb030e6582b6871d3f16992e62bd284d	whole-file	316	8bb5b1e8a4f372f30a61322ec1aba022468c552233ea3bd53340abbec84fc283	0	-
V22-MIGRATION-V03	4daf4dd809411bc83d7ea912e6b99612d4c9572a	crates/decodex-server-store/migrations/V3__conversation_history.sql	151251683c36a77e0605af6cd02ca8795738caea	whole-file	56998	d6981e0d13edf3b52d7669500d91d963988b3eb98caa67a58a7995ca6e65bce9	14	-
V22-MIGRATION-V04	4daf4dd809411bc83d7ea912e6b99612d4c9572a	crates/decodex-server-store/migrations/V4__account_readiness.sql	f5a5c589548a0b758e0ac45f392a6831b0bd20b0	whole-file	146	c08f9efce4c3b1bb90112f66b8eda1b9305c880d152dc5f5df216bc7f750c756	0	-
V22-MIGRATION-V05	4daf4dd809411bc83d7ea912e6b99612d4c9572a	crates/decodex-server-store/migrations/V5__project_agent_authority.sql	88726c53cde1da4d58ae8ba6b9b969d99a449886	whole-file	12328	ddfcdd21967a24ed8d4a2776c201f901b9b6a475fd79a3bf690b9cae1a2c472f	2	-
V22-MIGRATION-V06	4daf4dd809411bc83d7ea912e6b99612d4c9572a	crates/decodex-server-store/migrations/V6__project_policy_authority.sql	03683f83fb238e182f7463653bbecb2d2386bedf	whole-file	13131	2e917bae739a5170407496b19db569478abb26e7cf4573420a285dd5b492e8ee	2	-
V22-MIGRATION-V07	4daf4dd809411bc83d7ea912e6b99612d4c9572a	crates/decodex-server-store/migrations/V7__program_objective_authority.sql	f8c66a7a714e1920e7706745955944ad04e32ed1	whole-file	49186	13f9791dc6c373300f320f2c8522a1727a6d74ee17f522b05c6a60a1931ee3cd	3	-
V22-MIGRATION-V08	4daf4dd809411bc83d7ea912e6b99612d4c9572a	crates/decodex-server-store/migrations/V8__quota_exclusions.sql	8cafed2bb56f9dbce37972ecc961ce13fc63c23a	whole-file	7676	b89a04b08470e0d0a43c364617f0da61fc21cd99dd9ea3129cdb23f7975060b6	1	-
V22-MIGRATION-V09	4daf4dd809411bc83d7ea912e6b99612d4c9572a	crates/decodex-server-store/migrations/V9__exact_role_profiles.sql	7d69a1490c487a05996bf241f031df2f1fb2d134	whole-file	33865	36046676e4e7c3e07d05346bae3737ba8482153e06072f7d7f9586709f6d64b6	3	-
V22-MIGRATION-V10	4daf4dd809411bc83d7ea912e6b99612d4c9572a	crates/decodex-server-store/migrations/V10__runtime_session_snapshots.sql	391ee5f89b91a72c4d76ab9d45623a86627153ba	whole-file	38474	b6254804c061ab34e05d3af09dd053e8a1bd805fe9d95a7726745d0ac2062fd1	0	-
