migration	relation
V1	accounts
V1	quota_windows
V1	command_receipts
V1	activity
V1	leases
V1	outbox
V3	conversations
V3	profile_snapshots
V3	account_snapshots
V3	runtime_sessions
V3	blob_objects
V3	artifacts
V3	artifact_revisions
V3	turns
V3	history_items
V3	history_item_versions
V3	history_cursors
V3	context_packs
V3	context_pack_sources
V3	transition_proposals
V5	projects
V5	agents
V6	policies
V6	policy_revisions
V7	programs
V7	objectives
V7	objective_completion_evidence
V8	quota_exclusions
V9	exact_command_receipts
V9	role_profiles
V9	role_profile_revisions
V11	work_items
V11	work_item_objectives
V11	work_item_edges
V11	work_item_readiness_blockers
V11	work_item_acceptances
V12	managed_runs
V12	managed_run_assignments
V12	managed_run_effect_barriers
V12	managed_run_effects
V12	managed_run_submitted_turn_receipts
V12	managed_run_safety_inputs
V13	repository_admissions
V13	repository_operations
V13	repository_operation_evidence
V13	repository_operation_results
V13	repository_operation_events
V13	repository_authority_transitions
V13	managed_repositories
V14	routing_policy_heads
V14	routing_policy_revisions
V14	routing_policy_members
V14	routing_policy_required_capabilities
V14	routing_compatibility_evidence
V14	routing_capability_evidence
V14	routing_snapshots
V14	routing_snapshot_members
V14	routing_snapshot_quota_facts
V14	routing_snapshot_capability_facts
V14	routing_snapshot_blockers
V15	codex_experiments
V15	codex_experiment_revisions
V15	codex_experiment_creation_attempts
V15	codex_experiment_thread_bindings
V15	codex_experiment_observations
V16	routing_decisions
V16	routing_decision_member_refs
V16	routing_decision_quota_refs
V16	routing_decision_capability_refs
V16	routing_decision_blocker_refs
V16	routing_decision_exclusions
V17	continuation_plans
V18	waiting_usage_wake_transitions
V18	waiting_usage_wake_heads
V22	codex_experiment_start_receipts
V22	codex_experiment_title_set_attempts
V22	codex_experiment_retained_title_attestations
V22	codex_experiment_attested_observations
