snapshot_path	current_comparison	reconciliation	current_owner	partial_delivery_prs	snapshot_sha256	current_sha256	owner_sha256	recorded_disposition
CODEX_UPSTREAM_REVIEW.md	different	review-required	CODEX_UPSTREAM_REVIEW.md		66256e56d8f1daefe28fa244add552a21794dc6453b1116da800385104e6b5f9	6a553ae18a365ea71df1701c23df096b0ada0b5ed8f5a8049683b374868fcf8b	6a553ae18a365ea71df1701c23df096b0ada0b5ed8f5a8049683b374868fcf8b	requires-content-review
Cargo.lock	different	review-required	Cargo.lock	1499,1500	c6cbf9fafb2da407670471b4b3f8d3b058d5c40a75a8db107e84ca6464b41129	dcc7e65da06924ee689aa1aa52eca32f542587e43594ff93c81d89ab812b021b	dcc7e65da06924ee689aa1aa52eca32f542587e43594ff93c81d89ab812b021b	requires-content-review
Cargo.toml	different	review-required	Cargo.toml		c8d5ffaea8022b97a322ecee320fcc44855833855d7c130de1ef144fe93782e0	378b2450379d3b4c1889a5990dadd1c83ad23a10cd4f96991efd8219777560a7	378b2450379d3b4c1889a5990dadd1c83ad23a10cd4f96991efd8219777560a7	requires-content-review
apps/decodex-cli/src/chief.rs	different	review-required	apps/decodex-cli/src/chief.rs		31382dddf2a08d719118592a89a86d725ab96c7f4a45df08a13fa1046c8c6796	9e3e72cdad5c5253e48675316bb303ea2e0a2bc29e0d14372d49c56bdc5a2e30	9e3e72cdad5c5253e48675316bb303ea2e0a2bc29e0d14372d49c56bdc5a2e30	requires-content-review
apps/decodex-gpui/Cargo.toml	different	review-required	apps/decodex-gpui/Cargo.toml		ae0897aa75ec77ca3182f24642ea40116c4085295714b69301bb450778eaf6f8	b7e0bdf8c8ee0f589ed9a526daf85c5f874de8b5725388a784f1cb5be142a684	b7e0bdf8c8ee0f589ed9a526daf85c5f874de8b5725388a784f1cb5be142a684	requires-content-review
apps/decodex-gpui/menubar/Sources/DecodexApp/DictationCapture.swift	exact	exact-content	apps/decodex-gpui/menubar/Sources/DecodexApp/DictationCapture.swift	1476	2d60b1817251de6e388117917cb340c7a6b79ebe0aae601c57d4f4947b0fa116	2d60b1817251de6e388117917cb340c7a6b79ebe0aae601c57d4f4947b0fa116	2d60b1817251de6e388117917cb340c7a6b79ebe0aae601c57d4f4947b0fa116	exactly-in-main
apps/decodex-gpui/menubar/Sources/DecodexApp/VoiceMediaHost.swift	exact	exact-content	apps/decodex-gpui/menubar/Sources/DecodexApp/VoiceMediaHost.swift	1476	bf46b733c84d5df4617dae0aaa19c3b4f2d978e82abf19393b9e9afa2bd8116e	bf46b733c84d5df4617dae0aaa19c3b4f2d978e82abf19393b9e9afa2bd8116e	bf46b733c84d5df4617dae0aaa19c3b4f2d978e82abf19393b9e9afa2bd8116e	exactly-in-main
apps/decodex-gpui/menubar/Tests/DecodexAppTests/VoiceMediaHostTests.swift	exact	exact-content	apps/decodex-gpui/menubar/Tests/DecodexAppTests/VoiceMediaHostTests.swift	1476	558a1053a37c34a466d6676c067eee4208267af833375262154f0d25b8c01e68	558a1053a37c34a466d6676c067eee4208267af833375262154f0d25b8c01e68	558a1053a37c34a466d6676c067eee4208267af833375262154f0d25b8c01e68	exactly-in-main
apps/decodex-gpui/menubar/Tests/DecodexAppTests/VoiceReadinessTests.swift	exact	exact-content	apps/decodex-gpui/menubar/Tests/DecodexAppTests/VoiceReadinessTests.swift	1476	57c31661088adee6621eaa85dae4071d8344907bdcc8e033db94163e865399bf	57c31661088adee6621eaa85dae4071d8344907bdcc8e033db94163e865399bf	57c31661088adee6621eaa85dae4071d8344907bdcc8e033db94163e865399bf	exactly-in-main
apps/decodex-gpui/src/account_observation_wait.rs	exact	exact-content	apps/decodex-gpui/src/account_observation_wait.rs	1479	1302f4cec015084e56288fbbacb4a988ff5074873ffe0b08479730f446dcd83f	1302f4cec015084e56288fbbacb4a988ff5074873ffe0b08479730f446dcd83f	1302f4cec015084e56288fbbacb4a988ff5074873ffe0b08479730f446dcd83f	exactly-in-main
